gene,gene_synonym
LOC645261,LOC645261
LOC110599572,--8 kb enhancer of CYP2C8 
MBNP,"-?Membranous nephropathy, susceptibility to "
AGPAT5P1,-1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1 
LOC107275226,-10p13 CCDC3 distal Alu-mediated recombination region 
LOC107275223,-10p13 CCDC3 medial Alu-mediated recombination region 
LOC107275222,-10p13 CCDC3 proximal Alu-mediated recombination region 
LOC108903148,-10p13 OPTN distal Alu-mediated recombination region 
LOC108903149,-10p13 OPTN proximal Alu-mediated recombination region 
LOC108178983,-11p14.2 distal LINE-mediated recombination region 
LOC108178984,-11p14.2 proximal LINE-mediated recombination region 
LOC108165613,-11q24.3 distal HERV-mediated recombination region 
LOC108165612,-11q24.3 proximal HERV-mediated recombination region 
LOC108178986,-12p13 distal LINE-mediated recombination region 
LOC108178987,-12p13 proximal LINE-mediated recombination region 
12S rRNA,-12S ribosomal RNA 
LOC106736481,-15q13 distal microdeletion recombination region 
LOC106736480,-15q13 proximal microdeletion recombination region 
LOC106736465,-15q13.2 beta inversion distal recombination region 
LOC106736464,-15q13.2 beta inversion proximal recombination region 
LOC106736469,-15q13.2-13.3 gamma inversion distal recombination region 
LOC106736468,-15q13.2-13.3 gamma inversion proximal recombination region 
LOC110596865,-16p subtelomeric meiotic recombination hotspot 
rrn16,-16S ribosomal RNA 
LOC107325941,-1q41 HERV-mediated proximal recombination region 
LOC107325942,-1q41-q42 HERV-mediated distal recombination region 
OGFOD1P1,-2-oxoglutarate and iron dependent oxygenase domain containing 1 pseudogene 1 
OGFOD2,-2-oxoglutarate and iron dependent oxygenase domain containing 2 
OASL2P,"-2'-5' oligoadenylate synthetase like 2, pseudogene "
OAS2,-2'-5'-oligoadenylate synthetase 2 
LOC108178991,-20p12 distal LINE-mediated recombination region 
LOC108178992,-20p12 proximal LINE-mediated recombination region 
LOC108021854,-2p12 distal HERV-mediated recombination region 
LOC108021855,-2p12 proximal HERV-mediated recombination region 
LOC107305683,-2q12.2 recombination region 
LOC107305685,-2q12.3 distal recombination region 
LOC107305684,-2q12.3 proximal recombination region 
LOC107305686,-2q13 recombination region 
HMGCS2,-3-hydroxy-3-methylglutaryl-CoA synthase 2 
LOC128136,-3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble) pseudogene 
PDPK2P,"-3-phosphoinositide dependent protein kinase 2, pseudogene "
LOC100509370,"-39S ribosomal protein L21, mitochondrial pseudogene "
LOC107987373,"-39S ribosomal protein L23, mitochondrial "
LOC100128454,"-39S ribosomal protein L32, mitochondrial pseudogene "
LOC107985501,"-39S ribosomal protein L51, mitochondrial pseudogene "
LOC107303339,-3p25 BRK1 Alu-mediated recombination region 
LOC107303338,-3p25 FANCD2 Alu-mediated recombination region 
LOC107303341,-3p25 IRAK2 Alu-mediated recombination region 
