20003_1140851088,senokot
20003_1140851812,glyceryl trinitrate
20003_1140852756,vitamin a
20003_1140852948,calcium+vitamin d
20003_1140852976,multivitamins
20003_1140856342,syndol
20003_1140857620,depo-provera
20003_1140857636,prempak
20003_1140858452,hepacon b12
20003_1140860690,cardura
20003_1140860696,lisinopril
20003_1140860728,quinapril
20003_1140860750,captopril
20003_1140860802,coversyl
20003_1140860806,ramipril
20003_1140860834,glyceryl
20003_1140860840,nitrolingual
20003_1140860904,trandolapril
20003_1140860954,isosorbide mononitrate
20003_1140860976,imdur
20003_1140861088,nifedipine
20003_1140861090,adalat
20003_1140861120,coracten
20003_1140861128,tildiem
20003_1140861138,adizem-60
20003_1140861166,dilzem
20003_1140861276,lacidipine
20003_1140861778,dipyridamole
20003_1140861780,persantin
20003_1140861806,aspirin
20003_1140861832,tranexamic acid
20003_1140861924,bezafibrate
20003_1140861936,questran
20003_1140861954,fenofibrate
20003_1140861958,simvastatin
20003_1140861998,ventolin
20003_1140862060,ventolin
20003_1140862086,salamol
20003_1140862144,salmeterol
20003_1140862148,serevent
20003_1140862168,bricanyl
20003_1140862236,atrovent
20003_1140862266,phyllocontin continus
20003_1140862380,becloforte
20003_1140862382,becotide
20003_1140862438,uniphyllin continus
20003_1140862476,beclazone
20003_1140862526,sodium cromoglycate
20003_1140862572,budesonide
20003_1140862574,pulmicort
20003_1140862628,piriton
20003_1140862770,zirtek
20003_1140862772,loratadine
20003_1140862776,clarityn
20003_1140862944,carbocisteine
20003_1140862952,mucodyne
20003_1140863144,zopiclone
20003_1140863152,diazepam
20003_1140863182,nitrazepam
20003_1140863202,temazepam
20003_1140863302,lorazepam
20003_1140864070,kapake
20003_1140864184,dovonex
20003_1140864196,climagest
20003_1140864286,flixotide
20003_1140864472,xatral
20003_1140864734,combivent
20003_1140864752,lansoprazole
20003_1140864950,bisoprolol fumarate+hydrochlorothiazide
20003_1140864952,lisinopril+hydrochlorothiazide
20003_1140864992,tramadol
20003_1140865000,zydol
20003_1140865010,viscotears
20003_1140865016,zolpidem
20003_1140865336,spasmonal
20003_1140865350,fybogel mebeverine
20003_1140865354,gaviscon
20003_1140865382,merbentyl
20003_1140865394,hyoscine butylbromide
20003_1140865396,buscopan
20003_1140865414,peppermint oil product
20003_1140865416,colpermin
20003_1140865426,cimetidine
20003_1140865564,imodium
20003_1140865578,mesalazine
20003_1140865580,asacol
20003_1140865588,pentasa
20003_1140865634,omeprazole
20003_1140865654,codeine phosphate+kaolin
20003_1140865668,sulphasalazine
20003_1140865670,salazopyrin
20003_1140865716,senna
20003_1140865752,ispaghula husk
20003_1140865786,bisacodyl
20003_1140865800,lactulose product
20003_1140865872,magnesium citrate
20003_1140866026,creon
20003_1140866078,indapamide
20003_1140866116,frusemide
20003_1140866122,bendrofluazide
20003_1140866236,spironolactone
20003_1140866280,bumetanide
20003_1140866466,securon
20003_1140866738,atenolol
20003_1140866800,half-inderal la
20003_1140866804,inderal
20003_1140867444,risperidone
